user_count,avg_response_time,good_throughput,bad_throughput,total_throughput,drop_percentage,server_0_utilization,average_number_of_requests_in_server_0,ci_90_lower,ci_90_upper,ci_95_lower,ci_95_upper,ci_99_lower,ci_99_upper,N_calculated_from_little_s_law,N_calculated_from_simulation,R_calculated_from_mva,R_calculated_from_simulation
311,4.90586,28.0067,0.563333,28.57,0,100,140.161,4.90586,4.90586,4.90586,4.90586,4.90586,4.90586,140.161,140.161,4.90619,4.90586
312,4.94029,28.0033,0.566667,28.57,0,100,141.144,4.94029,4.94029,4.94029,4.94029,4.94029,4.94029,141.144,141.144,4.94062,4.94029
313,4.97472,28,0.57,28.57,0,100,142.128,4.97472,4.97472,4.97472,4.97472,4.97472,4.97472,142.128,142.128,4.97505,4.97472
314,5.00914,27.9967,0.573333,28.57,0,100,143.111,5.00914,5.00914,5.00914,5.00914,5.00914,5.00914,143.111,143.111,5.00947,5.00914
315,5.04356,0.473333,28.0967,28.57,0,100,144.095,5.04356,5.04356,5.04356,5.04356,5.04356,5.04356,144.095,144.095,5.04389,5.04356
316,5.07797,0.473333,28.0967,28.57,0,100,145.078,5.07797,5.07797,5.07797,5.07797,5.07797,5.07797,145.078,145.078,5.07831,5.07797
317,5.11238,0.473333,28.0967,28.57,0,100,146.061,5.11238,5.11238,5.11238,5.11238,5.11238,5.11238,146.061,146.061,5.11272,5.11238
318,5.14679,0.473333,28.0967,28.57,0,100,147.044,5.14679,5.14679,5.14679,5.14679,5.14679,5.14679,147.044,147.044,5.14713,5.14679
319,5.18119,0.473333,28.0967,28.57,0,100,148.027,5.18119,5.18119,5.18119,5.18119,5.18119,5.18119,148.027,148.027,5.18153,5.18119
320,5.21559,0.473333,28.0967,28.57,0,100,149.009,5.21559,5.21559,5.21559,5.21559,5.21559,5.21559,149.009,149.009,5.21593,5.21559
321,5.24998,0.473333,28.0967,28.57,0,100,149.992,5.24998,5.24998,5.24998,5.24998,5.24998,5.24998,149.992,149.992,5.25033,5.24998
322,5.28437,0.473333,28.0967,28.57,0,100,150.974,5.28437,5.28437,5.28437,5.28437,5.28437,5.28437,150.974,150.974,5.28472,5.28437
323,5.31876,0.473333,28.0967,28.57,0,100,151.957,5.31876,5.31876,5.31876,5.31876,5.31876,5.31876,151.957,151.957,5.31911,5.31876
324,5.35314,0.473333,28.0967,28.57,0,100,152.939,5.35314,5.35314,5.35314,5.35314,5.35314,5.35314,152.939,152.939,5.35349,5.35314
325,5.38751,0.473333,28.0967,28.57,0,100,153.921,5.38751,5.38751,5.38751,5.38751,5.38751,5.38751,153.921,153.921,5.38787,5.38751
326,5.42189,0.473333,28.0967,28.57,0,100,154.903,5.42189,5.42189,5.42189,5.42189,5.42189,5.42189,154.903,154.903,5.42224,5.42189
327,5.45625,0.473333,28.0967,28.57,0,100,155.885,5.45625,5.45625,5.45625,5.45625,5.45625,5.45625,155.885,155.885,5.45661,5.45625
328,5.49062,0.473333,28.0967,28.57,0,100,156.867,5.49062,5.49062,5.49062,5.49062,5.49062,5.49062,156.867,156.867,5.49098,5.49062
329,5.52498,0.473333,28.0967,28.57,0,100,157.849,5.52498,5.52498,5.52498,5.52498,5.52498,5.52498,157.849,157.849,5.52535,5.52498
330,5.55934,0.473333,28.0967,28.57,0,100,158.83,5.55934,5.55934,5.55934,5.55934,5.55934,5.55934,158.83,158.83,5.5597,5.55934
331,5.59369,0.473333,28.0967,28.57,0,100,159.812,5.59369,5.59369,5.59369,5.59369,5.59369,5.59369,159.812,159.812,5.59406,5.59369
332,5.62804,0.473333,28.0967,28.57,0,100,160.793,5.62804,5.62804,5.62804,5.62804,5.62804,5.62804,160.793,160.793,5.62841,5.62804
333,5.66238,0.473333,28.0967,28.57,0,100,161.774,5.66238,5.66238,5.66238,5.66238,5.66238,5.66238,161.774,161.774,5.66276,5.66238
334,5.69672,0.473333,28.0967,28.57,0,100,162.755,5.69672,5.69672,5.69672,5.69672,5.69672,5.69672,162.755,162.755,5.6971,5.69672
335,5.73106,0.473333,28.0967,28.57,0,100,163.736,5.73106,5.73106,5.73106,5.73106,5.73106,5.73106,163.736,163.736,5.73144,5.73106
336,5.76539,0.473333,28.0967,28.57,0,100,164.717,5.76539,5.76539,5.76539,5.76539,5.76539,5.76539,164.717,164.717,5.76577,5.76539
337,5.79972,0.473333,28.0967,28.57,0,100,165.698,5.79972,5.79972,5.79972,5.79972,5.79972,5.79972,165.698,165.698,5.8001,5.79972
338,5.83404,0.473333,28.0967,28.57,0,100,166.679,5.83404,5.83404,5.83404,5.83404,5.83404,5.83404,166.679,166.679,5.83443,5.83404
339,5.86836,0.473333,28.0967,28.57,0,100,167.659,5.86836,5.86836,5.86836,5.86836,5.86836,5.86836,167.659,167.659,5.86875,5.86836
340,5.90268,0.473333,28.0967,28.57,0,100,168.64,5.90268,5.90268,5.90268,5.90268,5.90268,5.90268,168.64,168.64,5.90307,5.90268
341,5.93699,0.473333,28.0967,28.57,0,100,169.62,5.93699,5.93699,5.93699,5.93699,5.93699,5.93699,169.62,169.62,5.93738,5.93699
342,5.9713,0.473333,28.0967,28.57,0,100,170.6,5.9713,5.9713,5.9713,5.9713,5.9713,5.9713,170.6,170.6,5.97169,5.9713
343,6.0056,0.473333,28.0967,28.57,0,100,171.58,6.0056,6.0056,6.0056,6.0056,6.0056,6.0056,171.58,171.58,6.006,6.0056
344,6.0399,0.473333,28.0967,28.57,0,100,172.56,6.0399,6.0399,6.0399,6.0399,6.0399,6.0399,172.56,172.56,6.0403,6.0399
345,6.07419,0.473333,28.0967,28.57,0,100,173.54,6.07419,6.07419,6.07419,6.07419,6.07419,6.07419,173.54,173.54,6.0746,6.07419
346,6.10849,0.473333,28.0967,28.57,0,100,174.519,6.10849,6.10849,6.10849,6.10849,6.10849,6.10849,174.519,174.519,6.10889,6.10849
347,6.14277,0.473333,28.0967,28.57,0,100,175.499,6.14277,6.14277,6.14277,6.14277,6.14277,6.14277,175.499,175.499,6.14318,6.14277
348,6.17706,0.473333,28.0967,28.57,0,100,176.479,6.17706,6.17706,6.17706,6.17706,6.17706,6.17706,176.479,176.479,6.17747,6.17706
349,6.21134,0.473333,28.0967,28.57,0,100,177.458,6.21134,6.21134,6.21134,6.21134,6.21134,6.21134,177.458,177.458,6.21175,6.21134
350,6.24561,0.473333,28.0967,28.57,0,100,178.437,6.24561,6.24561,6.24561,6.24561,6.24561,6.24561,178.437,178.437,6.24602,6.24561
